x,y,collision
-12.08593,-2.54694,0
-12.09328,-2.55683,0
-12.09825,-2.56251,0
-12.10406,-2.57175,0
-12.11322,-2.58659,0
-12.12262,-2.60391,0
-12.13021,-2.62022,0
-12.13809,-2.63787,0
-12.14223,-2.64718,0
-12.14540,-2.65662,0
-12.14849,-2.67082,0
-12.14953,-2.68387,0
-12.15362,-2.69188,0
-12.15607,-2.70232,0
-12.15614,-2.73541,0
-12.15856,-2.76803,0
-12.15910,-2.79430,0
-12.15958,-2.82297,0
-12.16102,-2.83398,0
-12.16105,-2.84464,0
-12.16096,-2.86756,0
-12.15883,-2.89875,0
-12.15479,-2.92966,0
-12.14882,-2.96073,0
-12.14595,-2.98215,0
-12.13409,-3.02375,0
-12.13140,-3.03669,0
-12.13037,-3.04471,0
-12.12572,-3.05895,0
-12.12205,-3.06975,0
-12.11700,-3.07225,0
-12.11330,-3.07115,0
-12.08284,-3.07108,0
-12.04484,-3.07112,0
-12.00629,-3.07124,0
-11.97300,-3.07146,0
-11.93429,-3.07170,0
-11.89477,-3.07218,0
-11.85999,-3.07238,0
-11.82420,-3.07257,0
-11.79010,-3.07286,0
-11.75224,-3.07247,0
-11.71599,-3.07243,0
-11.67934,-3.07249,0
-11.64258,-3.07206,0
-11.60289,-3.07259,0
-11.56652,-3.07258,0
-11.52846,-3.07262,0
-11.49405,-3.07257,0
-11.45749,-3.07256,0
-11.41785,-3.07205,0
-11.38123,-3.07249,0
-11.34333,-3.07247,0
-11.30701,-3.07243,0
-11.27481,-3.07244,0
-11.24277,-3.07316,0
-11.20912,-3.07335,0
-11.17263,-3.07379,0
-11.14053,-3.07475,0
-11.10899,-3.07531,0
-11.08326,-3.07613,0
-11.05688,-3.07787,0
-11.02390,-3.07887,0
-10.98903,-3.08013,0
-10.95964,-3.08120,0
-10.93204,-3.08201,0
-10.90316,-3.08294,0
-10.88121,-3.08412,0
-10.84901,-3.08527,0
-10.81670,-3.08604,0
-10.78734,-3.08646,0
-10.75641,-3.08745,0
-10.72283,-3.08836,0
-10.69090,-3.08930,0
-10.65790,-3.09028,0
-10.62588,-3.09091,0
-10.59123,-3.09100,0
-10.55291,-3.09064,0
-10.51438,-3.08963,0
-10.48405,-3.08833,0
-10.44847,-3.08632,0
-10.40428,-3.08320,0
-10.36582,-3.07995,0
-10.33021,-3.07671,0
-10.29601,-3.07350,0
-10.24916,-3.06889,0
-10.19752,-3.06340,0
-10.14821,-3.05774,0
-10.10283,-3.05094,0
-10.06533,-3.04473,0
-10.02341,-3.03829,0
-9.98117,-3.03138,0
-9.93605,-3.02505,0
-9.89443,-3.01996,0
-9.85310,-3.01478,0
-9.80756,-3.00888,0
